ds,riceusdprice,maizeusdprice,exchangerate,Inflation,Rainfall
15/01/2007,37.8441,20.4951833,0.921,18.54157755,179.1111333
15/02/2007,36.4256,22.0023833,0.9295,14.26283072,108.5555667
15/03/2007,36.70188333,23.0885667,0.9263,13.01734793,143.5555667
15/04/2007,37.66198333,24.11765,0.927,12.36779223,269.2777667
15/05/2007,38.77245,24.4606667,0.9276,12.31416362,327.8611333
15/06/2007,39.01186667,22.7216833,0.9267,12.85646209,465.5833333
15/07/2007,38.31578333,24.9820667,0.9307,13.99468765,461.8333667
15/08/2007,41.57706667,25.1792167,0.9405,15.34194477,479.6388667
15/09/2007,41.93996667,25.72005,0.9485,16.51133794,512.8611
15/10/2007,42.03546667,24.7624,0.9625,17.50286716,599.1944333
15/11/2007,42.4184,29.21005,0.9855,18.31653242,603.6111
15/12/2007,45.04056667,26.39,0.9645,18.95233373,405.1111333
15/01/2008,48.81578333,32.8120214,0.9688,19.41027109,190.5555667
15/02/2008,48.45136667,33.8229143,0.9688,19.69034449,92.05556667
15/03/2008,48.2711,38.2574,0.9878,19.79255394,119.6944333
15/04/2008,49.49495,42.8181857,1.004,19.71689943,279.1388667
15/05/2008,59.19245,55.29455,1.0162,19.46338097,471.8611
15/06/2008,59.35135,58.5058857,1.105,19.03199856,635.0277667
15/07/2008,56.42423333,67.2163714,1.155,18.42275219,641.0277667
15/08/2008,52.68115,56.4658357,1.1567,17.76437625,560.2777667
15/09/2008,53.0435,35.7596286,1.1595,17.18560511,415.1111333
15/10/2008,54.74136667,37.4322714,1.1715,16.68643878,404.9166333
15/11/2008,54.59955,41.2589429,1.2143,16.26687725,458.2777667
15/12/2008,50.26091667,41.8062071,1.2728,15.92692053,521.7222
15/01/2009,45.59895,41.9123929,1.3402,15.66656862,389.1666667
15/02/2009,45.3617,43.2179,1.3925,15.48582151,239.4444667
15/03/2009,44.79841667,41.7057933,1.412,15.38467921,202.3611
15/04/2009,43.25115,40.9558667,1.4538,15.36314171,296.5
15/05/2009,44.2529,45.7678,1.475,15.42120902,408.2778
15/06/2009,42.8975,46.81532,1.4955,15.55888113,504.4444333
15/07/2009,44.55816667,44.3033467,1.4965,15.77615805,602.25
15/08/2009,45.26473333,40.1515333,1.4615,16.01315434,475.1944333
15/09/2009,45.86186667,27.51506,1.4463,16.20998456,289.5277667
15/10/2009,45.11573333,32.7117933,1.4307,16.3666487,118.2778
15/11/2009,45.41523333,33.5524867,1.4287,16.48314678,155.2778
15/12/2009,46.56688333,34.1431867,1.4318,16.55947879,168.7500333
